date;Value
1999-01-01;2.0000
1999-01-04;2.7500
1999-01-22;2.0000
1999-04-09;1.5000
1999-11-05;2.0000
2000-02-04;2.2500
2000-03-17;2.5000
2000-04-28;2.7500
2000-06-09;3.2500
2000-06-28;3.2500
2000-09-01;3.5000
2000-10-06;3.7500
2001-05-11;3.5000
2001-08-31;3.2500
2001-09-18;2.7500
2001-11-09;2.2500
2002-12-06;1.7500
2003-03-07;1.5000
2003-06-06;1.0000
2005-12-06;1.2500
2006-03-08;1.5000
2006-06-15;1.7500
2006-08-09;2.0000
2006-10-11;2.2500
2006-12-13;2.5000
2007-03-14;2.7500
2007-06-13;3.0000
2008-07-09;3.2500
2008-10-08;2.7500
2008-10-09;3.2500
2008-10-15;3.2500
2008-11-12;2.7500
2008-12-10;2.0000
2009-01-21;1.0000
2009-03-11;0.5000
2009-04-08;0.2500
2009-05-13;0.2500
2011-04-13;0.5000
2011-07-13;0.7500
2011-11-09;0.5000
2011-12-14;0.2500
2012-07-11;0.0000
2013-05-08;0.0000
2013-11-13;0.0000
2014-06-11;-0.1000
2014-09-10;-0.2000
2015-12-09;-0.3000
2016-03-16;-0.4000
2019-09-18;-0.5000
2022-07-27;0.0000
2022-09-14;0.7500
2022-11-02;1.5000
2022-12-21;2.0000
2023-02-08;2.5000
2023-03-22;3.0000
2023-05-10;3.2500
2023-06-21;3.5000
2023-08-02;3.7500
2023-09-20;4.0000